Site Code,Lake,Depth,Date,Julian Day,Active chl a (ug/L),Pprod (mg available C/m3/d)
100,Toolik,0,02-Jul-75,75183,.,14.05
100,Toolik,1,02-Jul-75,75183,.,12.45
100,Toolik,3,02-Jul-75,75183,.,30.1
100,Toolik,5,02-Jul-75,75183,.,9.5
100,Toolik,8,02-Jul-75,75183,.,9.1
100,Toolik,12,02-Jul-75,75183,.,15.33
100,Toolik,16,02-Jul-75,75183,.,1.41
100,Toolik,0,13-Jul-75,75194,.,2.05
100,Toolik,1,13-Jul-75,75194,.,1.98
100,Toolik,3,13-Jul-75,75194,.,2.48
100,Toolik,5,13-Jul-75,75194,.,.
100,Toolik,8,13-Jul-75,75194,.,3.11
100,Toolik,12,13-Jul-75,75194,.,2.55
100,Toolik,16,13-Jul-75,75194,.,1.07
100,Toolik,0,20-Jul-75,75201,.,1.84
100,Toolik,1,20-Jul-75,75201,.,3.97
100,Toolik,3,20-Jul-75,75201,.,2.91
100,Toolik,5,20-Jul-75,75201,.,1.21
100,Toolik,8,20-Jul-75,75201,.,1.89
100,Toolik,12,20-Jul-75,75201,.,.
100,Toolik,16,20-Jul-75,75201,.,.
100,Toolik,0,25-Jul-75,75206,.,14.41
100,Toolik,1,25-Jul-75,75206,.,15.51
100,Toolik,3,25-Jul-75,75206,.,8.53
100,Toolik,5,25-Jul-75,75206,.,6.69
100,Toolik,8,25-Jul-75,75206,.,7.03
100,Toolik,12,25-Jul-75,75206,.,2.35
100,Toolik,16,25-Jul-75,75206,.,0.87
100,Toolik,0,09-Aug-75,75221,.,23.35
100,Toolik,1,09-Aug-75,75221,.,36.46
100,Toolik,3,09-Aug-75,75221,.,22.09
100,Toolik,5,09-Aug-75,75221,.,17.78
100,Toolik,8,09-Aug-75,75221,.,.
100,Toolik,12,09-Aug-75,75221,.,1.91
100,Toolik,16,09-Aug-75,75221,.,0
100,Toolik,0,21-Aug-75,75233,.,11.77
100,Toolik,1,21-Aug-75,75233,.,9.4
100,Toolik,3,21-Aug-75,75233,.,8.51
100,Toolik,5,21-Aug-75,75233,.,10.77
100,Toolik,8,21-Aug-75,75233,.,7.095
100,Toolik,12,21-Aug-75,75233,.,3.42
100,Toolik,16,21-Aug-75,75233,.,0
100,Toolik,0,22-Jun-76,76174,.,26.12
100,Toolik,1,22-Jun-76,76174,.,18.21
100,Toolik,3,22-Jun-76,76174,.,18.48
100,Toolik,5,22-Jun-76,76174,.,5.39
100,Toolik,8,22-Jun-76,76174,.,1.66
100,Toolik,12,22-Jun-76,76174,.,.
100,Toolik,16,22-Jun-76,76174,.,.
100,Toolik,0,26-Jun-76,76178,.,9.015
100,Toolik,1,26-Jun-76,76178,.,20.397
100,Toolik,3,26-Jun-76,76178,.,10.76
100,Toolik,5,26-Jun-76,76178,.,3.94
100,Toolik,8,26-Jun-76,76178,.,2.0675
100,Toolik,12,26-Jun-76,76178,.,0.195
100,Toolik,16,26-Jun-76,76178,.,0.03
100,Toolik,0,02-Jul-76,76184,.,63.58
100,Toolik,1,02-Jul-76,76184,.,51.33
100,Toolik,3,02-Jul-76,76184,.,38.46
100,Toolik,5,02-Jul-76,76184,.,10.09
100,Toolik,8,02-Jul-76,76184,.,1.22
100,Toolik,12,02-Jul-76,76184,.,0.32
100,Toolik,16,02-Jul-76,76184,.,0.038
100,Toolik,0,03-Jul-76,76185,.,8.71
100,Toolik,1,03-Jul-76,76185,.,15.13
100,Toolik,3,03-Jul-76,76185,.,9.26
100,Toolik,5,03-Jul-76,76185,.,4.47
100,Toolik,8,03-Jul-76,76185,.,1.03
100,Toolik,12,03-Jul-76,76185,.,0.225
100,Toolik,16,03-Jul-76,76185,.,0.314
100,Toolik,0,09-Jul-76,76191,.,11.15
100,Toolik,1,09-Jul-76,76191,.,8.72
100,Toolik,3,09-Jul-76,76191,.,8.5
100,Toolik,5,09-Jul-76,76191,.,5.34
100,Toolik,8,09-Jul-76,76191,.,1.99
100,Toolik,12,09-Jul-76,76191,.,.
100,Toolik,16,09-Jul-76,76191,.,0.387
100,Toolik,0,18-Jul-76,76200,.,15.31
100,Toolik,1,18-Jul-76,76200,.,9.36
100,Toolik,3,18-Jul-76,76200,.,11.38
100,Toolik,5,18-Jul-76,76200,.,2.78
100,Toolik,8,18-Jul-76,76200,.,5.44
100,Toolik,12,18-Jul-76,76200,.,0.51
100,Toolik,16,18-Jul-76,76200,.,0.19
100,Toolik,0,23-Jul-76,76205,.,9.71
100,Toolik,1,23-Jul-76,76205,.,20.71
100,Toolik,3,23-Jul-76,76205,.,15.76
100,Toolik,5,23-Jul-76,76205,.,6.96
100,Toolik,8,23-Jul-76,76205,.,8.08
100,Toolik,12,23-Jul-76,76205,.,0.56
100,Toolik,16,23-Jul-76,76205,.,0.37
100,Toolik,0,06-Aug-76,76219,.,14.21
100,Toolik,1,06-Aug-76,76219,.,13.25
100,Toolik,3,06-Aug-76,76219,.,11.83
100,Toolik,5,06-Aug-76,76219,.,5.48
100,Toolik,8,06-Aug-76,76219,.,3.18
100,Toolik,12,06-Aug-76,76219,.,1.49
100,Toolik,16,06-Aug-76,76219,.,0.35
100,Toolik,0,13-Aug-76,76226,.,19.29
100,Toolik,1,13-Aug-76,76226,.,19.99
100,Toolik,3,13-Aug-76,76226,.,13.48
100,Toolik,5,13-Aug-76,76226,.,5.82
100,Toolik,8,13-Aug-76,76226,.,1.56
100,Toolik,12,13-Aug-76,76226,.,0.71
100,Toolik,16,13-Aug-76,76226,.,0.27
100,Toolik,0,22-May-77,77142,.,3.45
100,Toolik,1,22-May-77,77142,.,4.04
100,Toolik,3,22-May-77,77142,.,1.67
100,Toolik,5,22-May-77,77142,.,0.935
100,Toolik,8,22-May-77,77142,.,0
100,Toolik,12,22-May-77,77142,.,0.04
100,Toolik,16,22-May-77,77142,.,0.07
100,Toolik,0,29-May-77,77149,.,65.83
100,Toolik,1,29-May-77,77149,.,71.65
100,Toolik,3,29-May-77,77149,.,10.19
100,Toolik,5,29-May-77,77149,.,3.6
100,Toolik,8,29-May-77,77149,.,0.28
100,Toolik,12,29-May-77,77149,.,0.47
100,Toolik,16,29-May-77,77149,.,0
100,Toolik,0,05-Jun-77,77156,.,21.58
100,Toolik,1,05-Jun-77,77156,.,9.71
100,Toolik,3,05-Jun-77,77156,.,5.97
100,Toolik,5,05-Jun-77,77156,.,4.31
100,Toolik,8,05-Jun-77,77156,.,0.66
100,Toolik,12,05-Jun-77,77156,.,0.22
100,Toolik,16,05-Jun-77,77156,.,0.68
100,Toolik,0,10-Jun-77,77161,.,8.61
100,Toolik,1,10-Jun-77,77161,.,35.14
100,Toolik,3,10-Jun-77,77161,.,7.81
100,Toolik,5,10-Jun-77,77161,.,6.18
100,Toolik,8,10-Jun-77,77161,.,3.69
100,Toolik,12,10-Jun-77,77161,.,2.81
100,Toolik,16,10-Jun-77,77161,.,0
100,Toolik,0,18-Jun-77,77169,.,39.21
100,Toolik,1,18-Jun-77,77169,.,57.26
100,Toolik,3,18-Jun-77,77169,.,23.78
100,Toolik,5,18-Jun-77,77169,.,8.32
100,Toolik,8,18-Jun-77,77169,.,0.33
100,Toolik,12,18-Jun-77,77169,.,0.82
100,Toolik,16,18-Jun-77,77169,.,0.23
100,Toolik,0,24-Jun-77,77175,.,121.29
100,Toolik,1,24-Jun-77,77175,.,54.13
100,Toolik,3,24-Jun-77,77175,.,23.63
100,Toolik,5,24-Jun-77,77175,.,8.48
100,Toolik,8,24-Jun-77,77175,.,0.67
100,Toolik,12,24-Jun-77,77175,.,0.02
100,Toolik,16,24-Jun-77,77175,.,0
100,Toolik,0,30-Jun-77,77181,.,46.46
100,Toolik,1,30-Jun-77,77181,.,65.67
100,Toolik,3,30-Jun-77,77181,.,25.95
100,Toolik,5,30-Jun-77,77181,.,5.21
100,Toolik,8,30-Jun-77,77181,.,0.58
100,Toolik,12,30-Jun-77,77181,.,0.46
100,Toolik,16,30-Jun-77,77181,.,0
100,Toolik,0,07-Jul-77,77188,.,29.73
100,Toolik,1,07-Jul-77,77188,.,26.98
100,Toolik,3,07-Jul-77,77188,.,16.15
100,Toolik,5,07-Jul-77,77188,.,4.41
100,Toolik,8,07-Jul-77,77188,.,0.755
100,Toolik,12,07-Jul-77,77188,.,0.242
100,Toolik,16,07-Jul-77,77188,.,0.058
100,Toolik,0,14-Jul-77,77195,.,14.1
100,Toolik,1,14-Jul-77,77195,.,14.44
100,Toolik,3,14-Jul-77,77195,.,10.33
100,Toolik,5,14-Jul-77,77195,.,5.52
100,Toolik,8,14-Jul-77,77195,.,1.79
100,Toolik,12,14-Jul-77,77195,.,0.1
100,Toolik,16,14-Jul-77,77195,.,0.06
100,Toolik,0,21-Jul-77,77202,.,19.67
100,Toolik,1,21-Jul-77,77202,.,17.84
100,Toolik,3,21-Jul-77,77202,.,15.15
100,Toolik,5,21-Jul-77,77202,.,10.63
100,Toolik,8,21-Jul-77,77202,.,3.53
100,Toolik,12,21-Jul-77,77202,.,0.07
100,Toolik,16,21-Jul-77,77202,.,0.11
100,Toolik,0,28-Jul-77,77209,.,19.71
100,Toolik,1,28-Jul-77,77209,.,19.78
100,Toolik,3,28-Jul-77,77209,.,12.56
100,Toolik,5,28-Jul-77,77209,.,6.21
100,Toolik,8,28-Jul-77,77209,.,6.68
100,Toolik,12,28-Jul-77,77209,.,0.75
100,Toolik,16,28-Jul-77,77209,.,0
100,Toolik,0,04-Aug-77,77216,.,21.92
100,Toolik,1,04-Aug-77,77216,.,22.71
100,Toolik,3,04-Aug-77,77216,.,14.22
100,Toolik,5,04-Aug-77,77216,.,9
100,Toolik,8,04-Aug-77,77216,.,4.24
100,Toolik,12,04-Aug-77,77216,.,0.084
100,Toolik,16,04-Aug-77,77216,.,0.129
100,Toolik,0,11-Aug-77,77223,.,20.66
100,Toolik,1,11-Aug-77,77223,.,18.28
100,Toolik,3,11-Aug-77,77223,.,9.39
100,Toolik,5,11-Aug-77,77223,.,6.06
100,Toolik,8,11-Aug-77,77223,.,3.71
100,Toolik,12,11-Aug-77,77223,.,0.41
100,Toolik,16,11-Aug-77,77223,.,0.19
100,Toolik,0,18-Aug-77,77230,.,22.39
100,Toolik,1,18-Aug-77,77230,.,21.53
100,Toolik,3,18-Aug-77,77230,.,10.08
100,Toolik,5,18-Aug-77,77230,.,5.78
100,Toolik,8,18-Aug-77,77230,.,2.79
100,Toolik,12,18-Aug-77,77230,.,0.52
100,Toolik,16,18-Aug-77,77230,.,0
100,Toolik,0,20-May-78,78140,.,.
100,Toolik,1,20-May-78,78140,.,31.8
100,Toolik,3,20-May-78,78140,.,10.1
100,Toolik,5,20-May-78,78140,.,0.5
100,Toolik,8,20-May-78,78140,.,.
100,Toolik,12,20-May-78,78140,.,.
100,Toolik,16,20-May-78,78140,.,.
100,Toolik,0,04-Jun-78,78155,.,.
100,Toolik,1,04-Jun-78,78155,.,55.1
100,Toolik,3,04-Jun-78,78155,.,13.7
100,Toolik,5,04-Jun-78,78155,.,3.9
100,Toolik,8,04-Jun-78,78155,.,0.3
100,Toolik,12,04-Jun-78,78155,.,0.1
100,Toolik,16,04-Jun-78,78155,.,0
100,Toolik,0,04-Jul-78,78185,.,28.85
100,Toolik,1,04-Jul-78,78185,.,28.616
100,Toolik,3,04-Jul-78,78185,.,16.105
100,Toolik,5,04-Jul-78,78185,.,7.251
100,Toolik,8,04-Jul-78,78185,.,0.729
100,Toolik,12,04-Jul-78,78185,.,0
100,Toolik,16,04-Jul-78,78185,.,0.241
100,Toolik,0,12-Jul-78,78193,.,9.032
100,Toolik,1,12-Jul-78,78193,.,6.678
100,Toolik,3,12-Jul-78,78193,.,5.713
100,Toolik,5,12-Jul-78,78193,.,8.511
100,Toolik,8,12-Jul-78,78193,.,1.677
100,Toolik,12,12-Jul-78,78193,.,0.221
100,Toolik,16,12-Jul-78,78193,.,0.364
100,Toolik,0,20-Jul-78,78201,.,22.84
100,Toolik,1,20-Jul-78,78201,.,13.71
100,Toolik,3,20-Jul-78,78201,.,9.89
100,Toolik,5,20-Jul-78,78201,.,8.53
100,Toolik,8,20-Jul-78,78201,.,3.02
100,Toolik,12,20-Jul-78,78201,.,0.41
100,Toolik,16,20-Jul-78,78201,.,0.02
100,Toolik,0,27-Jul-78,78208,.,16.45
100,Toolik,1,27-Jul-78,78208,.,9.14
100,Toolik,3,27-Jul-78,78208,.,8.193
100,Toolik,5,27-Jul-78,78208,.,3.719
100,Toolik,8,27-Jul-78,78208,.,1.311
100,Toolik,12,27-Jul-78,78208,.,0.107
100,Toolik,16,27-Jul-78,78208,.,0.004
100,Toolik,0,30-Aug-78,78242,.,11.28
100,Toolik,1,30-Aug-78,78242,.,11.81
100,Toolik,3,30-Aug-78,78242,.,12.22
100,Toolik,5,30-Aug-78,78242,.,9.38
100,Toolik,8,30-Aug-78,78242,.,5.001
100,Toolik,12,30-Aug-78,78242,.,2.47
100,Toolik,16,30-Aug-78,78242,.,0.235
100,Toolik,0,01-Sep-78,78244,.,.
100,Toolik,1,01-Sep-78,78244,.,.
100,Toolik,3,01-Sep-78,78244,.,.
100,Toolik,5,01-Sep-78,78244,.,.
100,Toolik,8,01-Sep-78,78244,.,.
100,Toolik,12,01-Sep-78,78244,.,.
100,Toolik,16,01-Sep-78,78244,.,.
100,Toolik,0,14-Jun-79,79165,.,41.64
100,Toolik,1,14-Jun-79,79165,.,33.87
100,Toolik,2,14-Jun-79,79165,.,33.18
100,Toolik,3,14-Jun-79,79165,.,40.49
100,Toolik,5,14-Jun-79,79165,.,27.91
100,Toolik,8,14-Jun-79,79165,.,.
100,Toolik,12,14-Jun-79,79165,.,.
100,Toolik,16,14-Jun-79,79165,.,.
100,Toolik,0,20-Jun-79,79171,.,28.75
100,Toolik,1,20-Jun-79,79171,.,36.19
100,Toolik,2,20-Jun-79,79171,.,38.56
100,Toolik,3,20-Jun-79,79171,.,16.18
100,Toolik,5,20-Jun-79,79171,.,9.796
100,Toolik,8,20-Jun-79,79171,.,3.434
100,Toolik,12,20-Jun-79,79171,.,2.5
100,Toolik,16,20-Jun-79,79171,.,0.628
100,Toolik,0,27-Jun-79,79178,.,43.08
100,Toolik,1,27-Jun-79,79178,.,31.52
100,Toolik,3,27-Jun-79,79178,.,18.81
100,Toolik,5,27-Jun-79,79178,.,6.51
100,Toolik,8,27-Jun-79,79178,.,1.68
100,Toolik,12,27-Jun-79,79178,.,0.13
100,Toolik,16,27-Jun-79,79178,.,-0.547
100,Toolik,0,04-Jul-79,79185,.,22.52
100,Toolik,1,04-Jul-79,79185,.,18.31
100,Toolik,3,04-Jul-79,79185,.,5.8
100,Toolik,5,04-Jul-79,79185,.,6.66
100,Toolik,8,04-Jul-79,79185,.,1.88
100,Toolik,12,04-Jul-79,79185,.,0.678
100,Toolik,16,04-Jul-79,79185,.,3.92
100,Toolik,0,11-Jul-79,79192,.,30.86
100,Toolik,1,11-Jul-79,79192,.,21.65
100,Toolik,3,11-Jul-79,79192,.,19.32
100,Toolik,5,11-Jul-79,79192,.,6.47
100,Toolik,8,11-Jul-79,79192,.,4.09
100,Toolik,12,11-Jul-79,79192,.,0.68
100,Toolik,16,11-Jul-79,79192,.,0.36
100,Toolik,0,18-Jul-79,79199,.,34.09
100,Toolik,1,18-Jul-79,79199,.,25.1
100,Toolik,3,18-Jul-79,79199,.,8.82
100,Toolik,5,18-Jul-79,79199,.,4.87
100,Toolik,8,18-Jul-79,79199,.,1.47
100,Toolik,12,18-Jul-79,79199,.,0.138
100,Toolik,16,18-Jul-79,79199,.,0.0084
100,Toolik,0,25-Jul-79,79206,.,21.89
100,Toolik,1,25-Jul-79,79206,.,11.35
100,Toolik,3,25-Jul-79,79206,.,4.87
100,Toolik,5,25-Jul-79,79206,.,2.13
100,Toolik,8,25-Jul-79,79206,.,0.799
100,Toolik,12,25-Jul-79,79206,.,0.42
100,Toolik,16,25-Jul-79,79206,.,0.426
100,Toolik,0,31-Jul-79,79212,.,26.39
100,Toolik,1,31-Jul-79,79212,.,22.12
100,Toolik,3,31-Jul-79,79212,.,14.96
100,Toolik,5,31-Jul-79,79212,.,5.89
100,Toolik,8,31-Jul-79,79212,.,1.347
100,Toolik,12,31-Jul-79,79212,.,0.386
100,Toolik,16,31-Jul-79,79212,.,0.398
100,Toolik,0,05-Aug-79,79217,.,35.04
100,Toolik,1,05-Aug-79,79217,.,20.67
100,Toolik,3,05-Aug-79,79217,.,9
100,Toolik,5,05-Aug-79,79217,.,1.55
100,Toolik,8,05-Aug-79,79217,.,0.498
100,Toolik,12,05-Aug-79,79217,.,0.788
100,Toolik,16,05-Aug-79,79217,.,0.116
100,Toolik,0,13-Aug-79,79225,.,33.46
100,Toolik,1,13-Aug-79,79225,.,18.88
100,Toolik,3,13-Aug-79,79225,.,9.57
100,Toolik,5,13-Aug-79,79225,.,2.297
100,Toolik,8,13-Aug-79,79225,.,0.746
100,Toolik,12,13-Aug-79,79225,.,0.0091
100,Toolik,16,13-Aug-79,79225,.,0.299
100,Toolik,0,11-Jun-80,80163,.,270.03
100,Toolik,1,11-Jun-80,80163,.,18.02
100,Toolik,3,11-Jun-80,80163,.,8.68
100,Toolik,5,11-Jun-80,80163,.,5.27
100,Toolik,8,11-Jun-80,80163,.,0.476
100,Toolik,12,11-Jun-80,80163,.,0.264
100,Toolik,16,11-Jun-80,80163,.,0.552
100,Toolik,0,19-Jun-80,80171,.,89.72
100,Toolik,1,19-Jun-80,80171,.,17.72
100,Toolik,3,19-Jun-80,80171,.,13.46
100,Toolik,5,19-Jun-80,80171,.,13.78
100,Toolik,8,19-Jun-80,80171,.,1.41
100,Toolik,12,19-Jun-80,80171,.,0.464
100,Toolik,16,19-Jun-80,80171,.,0.097
100,Toolik,20,19-Jun-80,80171,.,.
100,Toolik,0,24-Jun-80,80176,.,92.27
100,Toolik,1,24-Jun-80,80176,.,77.52
100,Toolik,3,24-Jun-80,80176,.,49.64
100,Toolik,5,24-Jun-80,80176,.,6.75
100,Toolik,8,24-Jun-80,80176,.,1.23
100,Toolik,12,24-Jun-80,80176,.,0.33
100,Toolik,16,24-Jun-80,80176,.,0.89
100,Toolik,0,01-Jul-80,80183,.,7.65
100,Toolik,1,01-Jul-80,80183,.,19.53
100,Toolik,3,01-Jul-80,80183,.,17.41
100,Toolik,5,01-Jul-80,80183,.,7.55
100,Toolik,8,01-Jul-80,80183,.,2.33
100,Toolik,12,01-Jul-80,80183,.,0
100,Toolik,16,01-Jul-80,80183,.,0
100,Toolik,0,08-Jul-80,80190,.,26.6
100,Toolik,1,08-Jul-80,80190,.,34.76
100,Toolik,3,08-Jul-80,80190,.,8.94
100,Toolik,5,08-Jul-80,80190,.,5.35
100,Toolik,8,08-Jul-80,80190,.,2.56
100,Toolik,12,08-Jul-80,80190,.,0.45
100,Toolik,16,08-Jul-80,80190,.,0.85
100,Toolik,20,08-Jul-80,80190,.,1.197
100,Toolik,0,15-Jul-80,80197,.,43.87
100,Toolik,1,15-Jul-80,80197,.,36.91
100,Toolik,3,15-Jul-80,80197,.,22.09
100,Toolik,5,15-Jul-80,80197,.,5.099
100,Toolik,8,15-Jul-80,80197,.,3.5
100,Toolik,12,15-Jul-80,80197,.,0.749
100,Toolik,16,15-Jul-80,80197,.,0.58
100,Toolik,20,15-Jul-80,80197,.,0.112
100,Toolik,0,22-Jul-80,80204,.,33.1
100,Toolik,1,22-Jul-80,80204,.,23.9
100,Toolik,3,22-Jul-80,80204,.,8.22
100,Toolik,5,22-Jul-80,80204,.,2.75
100,Toolik,8,22-Jul-80,80204,.,2
100,Toolik,12,22-Jul-80,80204,.,0.16
100,Toolik,16,22-Jul-80,80204,.,0.77
100,Toolik,20,22-Jul-80,80204,.,3.23
